           0 -0.976249993       27608.2246    
           1  -1.22125006       9543.79883    
           2  -1.33562505       11415.1387    
           3  -1.36500001       11922.7764    
           4  -1.40312505       12598.0938    
           5  -1.38937497       12352.3916    
           6  -1.39499998       12452.6133    
           7  -1.35187495       11694.5957    
           8  -1.35937500       11824.7148    
           9  -1.41125000       12744.4189    
          10  -1.43750000       13222.9336    
          11  -1.47249997       13874.6719    
          12  -1.44124997       13292.0127    
          13  -1.46124995       13663.4756    
          14  -1.46562505       13745.4141    
          15  -1.44500005       13361.2725    
          16  -1.48312497       14075.6230    
          17  -1.47249997       13874.6719    
          18  -1.47062504       13839.3594    
          19  -1.49562502       14313.8848    
          20  -1.51687503       14723.5215    
          21  -1.49187505       14242.1973    
          22  -1.50374997       14469.8281    
          23  -1.50750005       14542.0879    
          24  -1.46312499       13698.5615    
          25  -1.48749995       14158.7871    
          26  -1.48500001       14111.2354    
          27  -1.49249995       14254.1328    
          28  -1.48374999       14087.4893    
          29  -1.47874999       13992.7031    
          30  -1.50312495       14457.8027    
          31  -1.49749994       14349.7979    
          32  -1.50937498       14578.2842    
          33  -1.50874996       14566.2139    
          34  -1.52437496       14869.4795    
          35  -1.51499999       14687.1455    
          36  -1.48749995       14158.7871    
          37  -1.51812506       14747.7979    
          38  -1.50250006       14445.7822    
          39  -1.49125004       14230.2666    
          40  -1.50000000       14397.7500    
          41  -1.50374997       14469.8281    
          42  -1.52374995       14857.2881    
          43  -1.52312505       14845.1025    
          44  -1.51937497       14772.0938    
          45  -1.54375005       15249.8672    
          46  -1.52312505       14845.1025    
          47  -1.53750002       15126.6357    
          48  -1.51187503       14626.6162    
          49  -1.49125004       14230.2666    
          50  -1.51687503       14723.5215    
          51  -1.53125000       15003.9053    
          52  -1.53125000       15003.9053    
          53  -1.51499999       14687.1455    
          54  -1.49687505       14337.8223    
          55  -1.51187503       14626.6162    
          56  -1.51499999       14687.1455    
          57  -1.53250003       15028.4111    
          58  -1.55687499       15510.2783    
          59  -1.54250002       15225.1807    
          60  -1.52937496       14967.1836    
          61  -1.54875004       15348.8115    
          62  -1.55687499       15510.2783    
          63  -1.53937495       15163.5527    
          64  -1.52625000       14906.0811    
          65  -1.51999998       14784.2490    
          66  -1.53750002       15126.6357    
          67  -1.54187500       15212.8457    
          68  -1.54812503       15336.4258    
          69  -1.55437505       15460.5068    
          70  -1.53562498       15089.7637    
          71  -1.53312504       15040.6719    
          72  -1.49937499       14385.7549    
          73  -1.50750005       14542.0879    
          74  -1.54187500       15212.8457    
          75  -1.53312504       15040.6719    
          76  -1.51750004       14735.6572    
          77  -1.49874997       14373.7637    
          78  -1.45624995       13570.1289    
          79  -1.47000003       13827.5986    
          80  -1.50062501       14409.7510    
          81  -1.50312495       14457.8027    
          82  -1.49937499       14385.7549    
          83  -1.50000000       14397.7500    
          84  -1.52312505       14845.1025    
          85  -1.52937496       14967.1836    
          86  -1.52437496       14869.4795    
          87  -1.52187502       14820.7461    
          88  -1.51937497       14772.0938    
          89  -1.52062500       14796.4102    
          90  -1.53187501       15016.1562    
          91  -1.54187500       15212.8457    
          92  -1.54687500       15311.6699    
          93  -1.53562498       15089.7637    
          94  -1.52999997       14979.4189    
          95  -1.51250005       14638.7119    
          96  -1.48812497       14170.6875    
          97  -1.49812496       14361.7783    
          98  -1.50999999       14590.3594    
          99  -1.51750004       14735.6572    
         100  -1.50187504       14433.7666    
         101  -1.48562503       14123.1152    
         102  -1.52125001       14808.5752    
         103  -1.53562498       15089.7637    
         104  -1.53687501       15114.3398    
         105  -1.56062496       15585.0869    
         106  -1.55624998       15497.8281    
         107  -1.54375005       15249.8672    
         108  -1.56562495       15685.1113    
         109  -1.55750000       15522.7344    
